Question 1 Solution:

[shubham2@localhost ~]$ ps -ef 



Output:
UID         PID   PPID  C STIME TTY          TIME CMD
polkitd     632      1  0 03:41 ?        00:00:01 /usr/lib/polkit-1/polkitd --no
root        638      1  0 03:41 ?        00:00:00 /usr/libexec/accounts-daemon
avahi       641      1  0 03:41 ?        00:00:00 avahi-daemon: running [linux.l
root        644      1  0 03:41 ?        00:00:00 /usr/libexec/udisks2/udisksd
root        645      1  0 03:41 ?        00:00:00 /usr/sbin/irqbalance --foregro
root        646      1  0 03:41 ?        00:00:00 /usr/bin/abrt-watch-log -F BUG
root        651      1  0 03:41 ?        00:00:00 /usr/sbin/gssproxy -D
avahi       657    641  0 03:41 ?        00:00:00 avahi-daemon: chroot helper
root        697      1  0 03:41 ?        00:00:00 /bin/bash /usr/sbin/ksmtuned
root        703      1  0 03:41 ?        00:00:01 /usr/bin/python2 -Es /usr/sbin
root        741      2  0 03:41 ?        00:00:00 [kworker/0:1H]
root        770      1  0 03:41 ?        00:00:00 /usr/sbin/NetworkManager --no-
root        899    770  0 03:41 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/
root       1093      1  0 03:41 ?        00:00:00 /usr/sbin/cupsd -f
root       1096      1  0 03:41 ?        00:00:00 /usr/bin/python2 -Es /usr/sbin
root       1097      1  0 03:41 ?        00:00:00 /usr/sbin/sshd -D
root       1098      1  0 03:41 ?        00:00:00 /usr/sbin/rsyslogd -n
root       1105      1  0 03:41 ?        00:00:00 /usr/sbin/libvirtd
root       1114      1  0 03:41 ?        00:00:01 /usr/sbin/crond -n
root       1116      1  0 03:41 ?        00:00:00 /usr/sbin/atd -f
root       1117      1  0 03:41 ?        00:00:00 /usr/sbin/gdm
root       1348   1117  0 03:41 tty1     00:00:12 /usr/bin/X :0 -background none
nobody     1417      1  0 03:41 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=
root       1419   1417  0 03:41 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=
root       1467      1  0 03:41 ?        00:00:00 /usr/libexec/postfix/master -w
postfix    1479   1467  0 03:41 ?        00:00:00 pickup -l -t unix -u
postfix    1480   1467  0 03:41 ?        00:00:00 qmgr -l -t unix -u
root       1734      1  0 03:41 ?        00:00:00 /usr/libexec/upowerd
root       1869      1  0 03:41 ?        00:00:00 /usr/libexec/boltd
root       1875      1  0 03:41 ?        00:00:00 /usr/sbin/wpa_supplicant -u -f
root       1878      1  0 03:41 ?        00:00:00 /usr/libexec/packagekitd
colord     1962      1  0 03:42 ?        00:00:00 /usr/libexec/colord
root       2055   1117  0 03:42 ?        00:00:00 gdm-session-worker [pam/gdm-pa
shubham2   2068      1  0 03:43 ?        00:00:00 /usr/bin/gnome-keyring-daemon 
shubham2   2087   2055  0 03:43 ?        00:00:00 /usr/libexec/gnome-session-bin
shubham2   2097      1  0 03:43 ?        00:00:00 dbus-launch --sh-syntax --exit
shubham2   2098      1  0 03:43 ?        00:00:00 /usr/bin/dbus-daemon --fork --
shubham2   2127      1  0 03:43 ?        00:00:00 /usr/libexec/imsettings-daemon
shubham2   2131      1  0 03:43 ?        00:00:00 /usr/libexec/gvfsd
shubham2   2136      1  0 03:43 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/u
shubham2   2218   2087  0 03:43 ?        00:00:00 /usr/bin/ssh-agent /bin/sh -c 
shubham2   2236      1  0 03:43 ?        00:00:00 /usr/libexec/at-spi-bus-launch
shubham2   2241   2236  0 03:43 ?        00:00:00 /usr/bin/dbus-daemon --config-
shubham2   2244      1  0 03:43 ?        00:00:00 /usr/libexec/at-spi2-registryd
shubham2   2273   2087  2 03:43 ?        00:00:25 /usr/bin/gnome-shell
shubham2   2285      1  0 03:43 ?        00:00:01 /usr/bin/pulseaudio --start --
root       2303      2  0 03:43 ?        00:00:00 [krfcommd]
shubham2   2306   2273  0 03:43 ?        00:00:00 ibus-daemon --xim --panel disa
shubham2   2310   2306  0 03:43 ?        00:00:00 /usr/libexec/ibus-dconf
shubham2   2314      1  0 03:43 ?        00:00:00 /usr/libexec/ibus-x11 --kill-d
shubham2   2317      1  0 03:43 ?        00:00:00 /usr/libexec/ibus-portal
shubham2   2326      1  0 03:43 ?        00:00:00 /usr/libexec/xdg-permission-st
shubham2   2331      1  0 03:43 ?        00:00:00 /usr/libexec/gnome-shell-calen
shubham2   2336      1  0 03:43 ?        00:00:00 /usr/libexec/evolution-source-
shubham2   2343      1  0 03:43 ?        00:00:00 /usr/libexec/goa-daemon
shubham2   2351      1  0 03:43 ?        00:00:00 /usr/libexec/dconf-service
shubham2   2362      1  0 03:43 ?        00:00:00 /usr/libexec/mission-control-5
shubham2   2373      1  0 03:43 ?        00:00:00 /usr/libexec/goa-identity-serv
shubham2   2377      1  0 03:43 ?        00:00:00 /usr/libexec/gvfs-udisks2-volu
shubham2   2387      1  0 03:43 ?        00:00:00 /usr/libexec/gvfs-afc-volume-m
shubham2   2394      1  0 03:43 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volu
shubham2   2404      1  0 03:43 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-m
shubham2   2412      1  0 03:43 ?        00:00:00 /usr/libexec/gvfs-goa-volume-m
shubham2   2440   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-power
shubham2   2441   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-print-notific
shubham2   2449   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-rfkill
shubham2   2451   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-screensaver-p
shubham2   2455   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-sharing
shubham2   2459   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-sound
shubham2   2463   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-xsettings
shubham2   2466   2087  0 03:43 ?        00:00:00 /usr/libexec/gsd-wacom
